	NAME	LATITUDE	LONGITUDE
260	PANAMA CITY ADVANCED SCHOOL	30.208175696	-85.670171902
261	ST JOHN CATHOLIC SCHOOL	30.167064214	-85.688622795
262	THE DEVELOPMENT CENTER	37.59599	-77.517581
263	THE GODDARD SCHOOL - ASHLAND	37.6964	-77.433871
264	THE GODDARD SCHOOL - CHANTILLY II	38.910040157	-77.493182897
265	THE INDEPENDENT SCHOOL OF WINCHESTER INC	39.115395849	-78.193325308
266	VILLAGE MONTESSORI SCHOOL AT BLUEMONT	39.109504308	-77.82882013
267	WINWOOD CHILDREN'S CENTER - BRAMBLETON 2	38.99528	-77.527611
268	HILLSIDE ACADEMY	47.740675661	-121.985752879
269	LAKEMONT ACADEMY	47.55685	-122.120514964
270	LITTLE OAK MONTESSORI SCHOOL	45.721867689	-121.474672497
271	MAKKAH ISLAMIC SCHOOL	47.549533275	-122.286625671
272	MAPLE VALLEY ELEMENTARY SCHOOL	47.452992667	-122.111721689
273	MILL PLAIN CHILDRENS VILLAGE DAY SCHOOL	45.616368554	-122.51501775
274	ST CECILIA CATHOLIC SCHOOL	47.636294847	-122.520508639
275	STELLA MARIS ACADEMY	47.814245811	-122.375243104
276	STERLING WEST SEATTLE CAMPUS	47.52065	-122.339170011
277	TACOMA CHRISTIAN ACADEMY	47.245669793	-122.464278821
278	TAPROOT SCHOOL	47.521974771	-122.387854143
279	BISHOP DONAHUE MEMORIAL HIGH SCHOOL	39.992457416	-80.730754689
280	RIVER VALLEY ACADEMY	38.98565	-81.448831
281	ST FRANCIS OF ASSISI SCHOOL	38.3837	-81.824781
282	ST PATRICK SCHOOL	39.03806	-80.465331
283	THE CLARKSBURG CHILDRENS MONTESSORI SCHOOL	39.284180219	-80.337671621
284	WORLD CHANGERS CHRISTIAN ACADEMY	38.128427464	-81.250337793
285	HOPE CHRISTIAN SCHOOL - SEMPER	43.090308103	-87.951766078
286	HOPE CHRISTIAN SCHOOL - VIA	42.763089643	-87.802672384
287	OASIS CHRISTIAN SCHOOL	44.009802893	-90.54087276
288	ALL SAINTS CATHOLIC EAST SCHL	43.058432009	-87.889783108
289	ST JOSEPH PARISH SCHOOL	43.319577	-87.946242
290	MT LEVANON SCHOOL	43.08904	-88.018731
291	ST JOHN SCHOOL	44.171884465	-88.260880749
292	ALBANY HILLS AMISH SCHOOL	44.65977	-91.723491
293	AMISH SCHOOL	45.176421436	-91.010674564
294	BLACK RIVER MENNONITE SCHOOL	44.911545	-90.678945
295	CARR VALLEY AMISH SCHOOL	43.534862	-90.164618
296	CLEARVIEW AMISH SCHOOL	42.696462774	-89.370938239
297	COMMON THREADS FAMILY RESOURCE CENTER	43.026109743	-89.277376692
298	COMMUNITY CHRISTIAN SCHOOL OF BARABOO	43.521725849	-89.692506028
299	FAIRVIEW AMISH SCHOOL	44.712171077	-90.553086585
300	GREEN MEADOW AMISH SCHOOL	44.741160926	-90.561355909
301	INSTITUTE OF KINGS AND PRIESTS INC	43.07416	-88.065611
302	MAPLE CENTER AMISH SCHOOL	44.78835	-90.553371
303	OAKVIEW AMISH SCHOOL	44.785795204	-88.469748276
304	PLEASANT VIEW MENNONITE SCHOOL	42.646644	-89.387045
305	RENAISSANCE SCHOOL	42.678816049	-87.855073611
306	RESURRECTION LUTHERAN SCHOOL	43.908675	-89.776337
307	ROCK COUNTY CHRISTIAN SCHOOL	42.501107105	-89.026033313
308	ROCK CREEK AMISH SCHOOL	44.75578	-90.46055
309	SAINTA	43.088707664	-88.023993442
310	SANDY OAK AMISH SCHOOL	43.89496	-90.917361
311	SHINING STAR CHRISTIAN SCHOOLS	43.091032482	-88.03109155
312	SILVER TEN AMISH SCHOOL	45.105904	-90.31379
313	ST PETER LUTHERAN SCHOOL	44.911148688	-89.611262041
314	ST ALOYSIUS GRADE SCHOOL	43.281647907	-89.727295444
315	ST JOSEPH GRADE SCHOOL	42.957677567	-90.126629862
316	ST JOSEPH MIDDLE SCHOOL	43.011865692	-88.227006661
317	QUEEN OF THE APOSTLES GRADE SCHOOL	43.979869393	-90.507972666
318	TRANSCENTER FOR YOUTH/EL PUENTE HIGH	43.019350438	-87.957984895
319	TUCKERTOWN AMISH SCHOOL	43.389904768	-90.197843456
320	CORNERSTONE CHRISTIAN SCHOOL	42.81055	-108.704881
321	ANCHOR CHRISTIAN ACADEMY	40.648234402	-111.838332446
322	DANIELS ACADEMY	40.496293601	-111.419385508
323	KOLOB CANYON RTC	37.467319429	-113.277702873
324	EVOKE THERAPY PROGRAMS	37.13003	-113.647251
325	WASATCH CHRISTIAN SCHOOL	41.191282179	-111.965249554
326	WILLIAMSBURG ACADEMY	37.088431199	-113.587956233
327	INSPIRE FOR AUTISM	42.84224	-72.574521
328	FULL CIRCLE MONTESSORI SCHOOL	38.886517402	-77.086037428
329	ANGELUS ACADEMY	38.741322206	-77.203888134
330	ANNA JULIA COOPER EPISCOPAL SCHOOL	37.545927423	-77.401557021
331	BELLE MEADE SCHOOL	38.566239868	-78.231469147
332	BINA HIGH SCHOOL	36.865660742	-76.290414979
333	BRISTOW MONTESSORI SCHOOL	38.759527232	-77.575602446
334	BUILDING BLOCKS  CTR  FOR CHILDREN WITH AUTISM	36.613486982	-79.409278589
335	CHELSEA ACADEMY	38.935247107	-78.154317268
336	CHESAPEAKE MONTESSORI SCHOOL	36.714650607	-76.255674018
337	THE FOUNDERS CENTER	37.594375535	-77.524978696
338	HOLLOMAN CHILD DEVT CENTER & ELEMENTARY ACADEMY	37.153249743	-76.459635822
339	KEMPSVILLE CENTER FOR BEHAVIORAL HEALTH	36.853129393	-76.189561376
340	MINNICK EDUCATION CENTER - WISE	36.979736393	-82.569561607
341	MONTESSORI OF GAINESVILLE - CASA DEI BAMBINI	38.76957	-77.618852678
342	PARK PLACE SCHOOL	36.877877182	-76.289048639
343	RENAISSANCE MONTESSORI SCHOOL	38.765200232	-77.484139698
344	ST ANTHONY ACADEMY	38.843991284	-77.299734695
345	TABERNACLE BAPTIST ACADEMY	36.818709749	-76.182829554
346	THE GODDARD SCHOOL	37.373519643	-77.507367143
347	RED DOOR MONTESSORI INC	47.847686143	-122.303131125
348	ASIA PACIFIC LANGUAGE SCHOOL	47.617674674	-122.152119542
349	EMERSON HIGH SCHOOL	48.422913857	-122.335503004
350	FIDALGO BAY MONTESSORI	48.503488528	-122.610213361
351	KNOWLEDGE HOUSE MONTESSORI	47.525645125	-122.641480626
352	DBA LEADERSHIP PREPARATORY ACADEMY	47.673077959	-122.201943348
353	SAN JUAN MONTESSORI SCHOOL	48.516955229	-122.6179043
354	SEATTLE NATIVITY SCHOOL	47.58886	-122.296481
355	SNO-KING ACADEMY	47.772420989	-122.274402384
356	SONSHIP CHRISTIAN SCHOOL	47.378761384	-122.049144187
357	ST BRENDAN'S CATHOLIC CHURCH	47.7689	-122.205411
358	WORLD CLASS ACADEMY	45.728533589	-121.486289429
359	MARTINSBURG CHRISTIAN ACADEMY	39.5031	-77.939511
360	RICHLAND CHRISTIAN ACADEMY	43.353809487	-90.387923981
361	ACADEMIE DE MONTESSORI	30.308676164	-81.657989331
362	CENTER ACADEMY - ST JOHNS BLUFF	30.295079767	-81.526630561
363	CORNERSTONE CHRISTIAN SCHOOL	30.284594542	-81.621426164
364	HARVEST CHRISTIAN ACADEMY	30.330881053	-81.586882255
365	JCA - MICHELE BLOCK GAN YELADIM PRESCHOOL & KDGN	30.226278856	-81.615340667
366	MARTIN J GOTTLIEB DAY SCHOOL	30.193222892	-81.621582301
367	SAN JOSE EPISCOPAL DAY SCHOOL	30.243876519	-81.626144504
368	ST PAULS LUTHERAN SCHOOL	28.953090842	-82.441924214
369	TRINITY CHRISTIAN ACADEMY	30.310231901	-81.796759665
370	ASHCREEK RANCH ACADEMY	37.261946282	-113.28387689
371	ASHCREEK RANCH ACADEMY	37.261868949	-113.283824886
372	KURN HATTIN HOMES FOR CHILDREN	43.065976749	-72.475476306
373	CHESTERBROOK ACADEMY KIDS CAMPUS	38.901026237	-77.427755308
374	FAITH ACADEMY	37.058981946	-81.765577411
375	OMEGA PRIVATE ACADEMY - CHESTERFIELD	37.375420482	-77.509690875
376	REDEEMER CLASSICAL SCHOOL	38.41608	-78.801661
377	ST ANNE'S ACADEMY FOR GIRLS	38.7681	-77.705941
378	ST LUKE'S DAY SCHOOL	38.73967	-77.053841
379	THE BOYD SCHOOL	38.944183018	-77.562671945
380	BRIGHTON SCHOOL	47.80174	-122.310081
381	EVERGREEN ACADEMY	47.577152379	-122.03797058
382	METHOW VALLEY COMMUNITY SCHOOL	48.363925875	-120.123110521
383	ADVENT LUTHERAN CHILD CENTER	47.66487	-117.229701
384	LAUREL ACADEMY	47.72113	-122.290201
385	BRIER MONTESSORI SCHOOL	47.780464665	-122.272280318
386	A PROMISE OF HOPE ACADEMY	43.104957	-87.978639
387	ACADEMY OF EXCELLENCE	43.024482313	-87.92710297
388	GRACE EVANGELICAL LUTHERAN SCHOOL	43.176776078	-88.111375189
389	HOPE CHRISTIAN SCHOOL - CARITAS	43.178277457	-88.022387694
390	SHINING STAR CHRISTIAN SCHOOL-WEST CAPITAL	43.091065025	-88.031109262
391	NEW VISION WILDERNESS ACADEMY	45.18967	-90.590121
392	NORTH CEDAR ACADEMY	45.455173565	-91.119842044
393	NORTH SCOTT AMISH SCHOOL	43.62421	-89.231731
394	NORTH SHORE MONTESSORI SCHOOL	43.101171741	-87.915313286
395	OAKRIDGE MENNONITE SCHOOL	44.067860031	-89.141201031
396	OUR LADY OF GRACE ACADEMY	42.714153621	-87.816981148
397	PLEASANT VIEW AMISH SCHOOL	43.389898544	-90.197848367
